account_age_months,avg_order_value,total_orders,days_since_last_purchase,discount_usage_rate,return_rate,customer_support_tickets,loyalty_member,browsing_frequency_per_week,cart_abandonment_rate,product_review_score_avg,engagement_score,satisfaction_score,price_sensitivity_index,churned,support_level,discount_level
17,30.52,5,31,0.404,0.0328,1,No,3.8,0.758,3.55,4.88,7.77,5.6,No,Low,Mid
9,18.88,7,37,0.497,0.0792,0,No,4.5,0.37,4.11,4.88,8.85,6.4,No,None,High
43,73.55,33,5,0.27,0.0432,1,No,4.5,0.44,3.95,7.35,8.14,4.4,No,Low,Mid
58,122.8,1,23,0.43,0.0128,0,No,4.0,0.489,5.0,5.22,9.96,5.3,No,None,Mid
32,56.19,9,3,0.326,0.0752,3,No,1.7,0.139,2.32,5.72,5.07,4.9,No,Medium,Mid
24,105.02,1,2,0.394,0.1384,1,No,4.0,0.252,4.99,6.27,8.86,5.1,No,Low,Mid
16,39.71,1,36,0.185,0.0104,0,No,4.2,0.717,3.75,4.63,8.72,4.1,No,None,Low
46,46.68,58,16,0.258,0.0408,1,No,4.2,0.13,4.49,7.27,8.69,4.5,No,Low,Mid
12,69.25,4,44,0.353,0.0024,0,No,3.9,0.307,3.63,4.23,8.62,5.1,No,None,Mid
35,54.99,9,20,0.22,0.0152,0,No,1.0,0.703,4.35,4.63,9.3,4.2,No,None,Low
53,113.13,14,14,0.674,0.0448,0,No,3.2,0.67,3.47,5.83,8.32,7.0,No,None,Extreme
43,108.29,11,33,0.461,0.2024,0,No,1.3,0.807,3.0,4.15,7.33,5.6,No,None,High
47,69.01,24,7,0.272,0.0056,0,No,4.3,0.58,3.83,6.88,8.81,4.5,No,None,Mid
46,49.79,1,145,0.175,0.0416,2,No,2.1,0.777,2.66,1.0,6.19,3.9,Yes,Low,Low
17,52.97,1,21,0.498,0.1088,1,No,0.0,0.795,2.92,3.98,6.89,6.2,No,Low,High
29,276.57,1,32,0.226,0.0272,1,No,1.0,0.909,3.73,3.77,7.97,2.9,No,Low,Low
57,153.83,1,1,0.221,0.1136,0,Yes,7.0,0.246,4.58,7.32,9.2,3.6,No,None,Low
36,38.57,10,19,0.008,0.0344,1,No,3.5,0.522,3.61,5.55,7.83,2.8,No,Low,Low
35,61.3,18,27,0.142,0.0352,2,No,0.7,0.538,4.61,4.48,8.16,3.6,No,Low,Low
4,57.75,1,209,0.508,0.0224,0,No,1.6,0.654,4.93,1.0,9.86,6.2,Yes,None,High
7,50.0,2,20,0.476,0.0224,0,Yes,0.9,0.444,3.67,4.37,8.6,6.0,No,None,High
19,91.11,5,16,0.313,0.024,0,No,2.6,0.254,4.88,5.23,9.8,4.6,No,None,Mid
47,50.46,24,22,0.183,0.0984,1,Yes,0.0,0.37,3.08,4.7,7.09,4.0,No,Low,Low
28,67.56,1,48,0.047,0.0088,1,No,0.5,0.442,3.64,2.8,7.94,2.9,Yes,Low,Low
41,77.01,31,2,0.145,0.0264,1,No,1.8,0.662,2.96,6.53,7.21,3.6,No,Low,Low
22,28.0,1,14,0.177,0.0856,0,Yes,3.3,0.643,3.8,5.43,8.51,4.1,No,None,Low
21,89.44,6,5,0.256,0.0992,0,No,4.3,0.732,3.52,6.38,8.19,4.3,No,None,Mid
5,73.07,2,32,0.073,0.0864,1,No,1.4,0.794,4.36,3.93,8.41,3.1,No,Low,Low
45,31.34,1,3,0.175,0.0672,1,No,4.9,0.862,3.59,6.52,7.7,4.0,No,Low,Low
49,106.98,1,53,0.521,0.052,0,No,7.1,0.502,4.37,4.75,9.2,6.0,No,None,High
32,38.11,1,13,0.097,0.012,2,No,2.8,0.798,3.91,5.32,7.54,3.5,No,Low,Low
60,59.11,16,9,0.45,0.0552,1,Yes,3.2,0.706,3.77,6.15,7.92,5.8,No,Low,High
1,182.13,1,11,0.436,0.132,1,No,2.6,0.35,3.3,5.35,7.19,5.0,No,Low,Mid
20,76.02,6,2,0.521,0.1656,1,Yes,2.5,0.858,3.51,5.93,7.29,6.2,No,Low,High
28,116.62,1,48,0.411,0.0536,1,No,3.5,0.856,3.59,3.8,7.74,5.2,No,Low,Mid
57,51.78,15,28,0.501,0.1184,0,No,3.9,0.472,4.29,5.4,8.9,6.2,No,None,High
44,90.18,1,13,0.439,0.188,2,No,2.8,0.459,3.51,5.32,6.55,5.5,No,Low,Mid
54,52.45,14,3,0.115,0.0624,0,No,6.0,0.375,4.39,7.32,9.18,3.5,No,None,Low
48,71.97,13,2,0.259,0.004,0,No,6.3,0.407,4.92,7.43,9.91,4.4,No,None,Mid
37,109.42,10,27,0.035,0.0432,0,No,2.2,0.785,3.59,4.72,8.45,2.6,No,None,Low
60,75.37,1,32,0.057,0.0144,0,No,0.0,0.553,3.57,3.43,8.52,2.9,No,None,Low
12,118.81,4,6,0.312,0.1016,1,No,4.2,0.487,4.06,6.23,8.05,4.5,No,Low,Mid
18,210.62,1,29,0.383,0.0136,0,No,4.5,0.841,4.59,5.08,9.54,4.4,No,None,Mid
53,94.06,27,14,0.583,0.2264,0,No,3.2,0.517,4.56,6.27,8.81,6.5,No,None,High
45,46.2,1,40,0.304,0.0144,0,Yes,3.2,0.498,5.0,4.1,9.95,4.9,No,None,Mid
51,57.36,13,17,0.125,0.244,4,Yes,1.8,0.912,1.71,5.18,3.23,3.5,No,Medium,Low
50,155.7,13,100,0.11,0.0632,0,No,2.6,0.631,3.75,1.3,8.54,2.8,Yes,None,Low
5,82.15,2,11,0.116,0.0528,0,No,3.0,0.6,3.89,5.52,8.71,3.3,No,None,Low
31,75.03,1,55,0.09,0.0288,1,No,4.2,0.537,3.65,3.68,7.89,3.2,No,Low,Low
2,79.89,2,1,0.096,0.0192,3,No,4.1,0.497,4.64,6.38,7.58,3.2,No,Medium,Low
45,93.95,1,29,0.35,0.0208,2,No,1.8,0.422,3.66,4.18,7.26,4.9,No,Low,Mid
59,50.1,30,27,0.516,0.0848,2,No,3.0,0.225,3.8,5.65,7.18,6.3,No,Low,High
9,185.63,1,11,0.544,0.0096,0,No,4.3,0.605,4.47,5.92,9.44,5.7,No,None,High
2,112.17,2,5,0.196,0.0776,0,No,3.9,0.331,3.83,6.12,8.57,3.7,No,None,Low
18,11.74,19,111,0.181,0.1504,2,No,0.9,0.691,4.34,1.0,7.51,4.2,Yes,Low,Low
56,82.43,15,1,0.327,0.1264,0,Yes,0.0,0.306,4.47,5.45,9.05,4.8,No,None,Mid
35,49.69,27,52,0.326,0.048,1,No,3.8,0.28,4.6,4.57,8.77,5.0,No,Low,Mid
44,105.45,12,45,0.334,0.1184,2,No,3.9,0.066,3.94,4.45,7.21,4.7,No,Low,Mid
25,74.15,7,104,0.155,0.028,1,Yes,3.5,0.722,4.84,1.4,9.08,3.6,Yes,Low,Low
16,14.55,9,20,0.117,0.1544,0,No,5.6,0.68,5.0,6.17,9.49,3.7,No,None,Low
58,29.25,44,27,0.354,0.0072,0,No,1.2,0.757,2.49,5.52,7.47,5.3,No,None,Mid
41,116.73,21,13,0.208,0.1176,1,No,1.7,0.217,4.54,5.62,8.48,3.8,No,Low,Low
44,68.36,1,50,0.03,0.2056,0,No,8.2,0.229,4.17,5.27,8.48,2.8,No,None,Low
46,122.03,12,13,0.212,0.3312,3,No,1.0,0.529,3.22,5.08,5.12,3.8,No,Medium,Low
20,51.49,6,111,0.093,0.0048,4,No,5.0,0.845,2.63,1.87,4.95,3.3,Yes,Medium,Low
59,116.62,1,5,0.33,0.0104,1,Yes,6.2,0.671,4.54,6.85,8.84,4.6,No,Low,Mid
4,57.95,1,47,0.188,0.0896,1,No,6.0,0.323,4.24,4.68,8.27,4.0,No,Low,Low
53,103.44,1,13,0.118,0.0656,0,No,4.7,0.747,4.12,5.95,8.9,3.2,No,None,Low
32,74.03,9,27,0.474,0.0168,0,No,3.2,0.73,3.91,5.02,8.85,5.9,No,None,High
52,50.97,14,119,0.094,0.096,2,No,3.3,0.611,3.74,1.57,7.09,3.4,Yes,Low,Low
20,63.45,6,11,0.432,0.1816,2,Yes,6.4,0.426,4.74,6.78,7.8,5.6,No,Low,Mid
39,117.65,30,24,0.413,0.0248,2,No,0.5,0.781,2.89,4.97,6.47,5.2,No,Low,Mid
15,133.17,4,93,0.293,0.0728,1,No,0.8,0.568,2.89,1.0,6.98,4.3,Yes,Low,Mid
18,80.9,5,5,0.185,0.036,0,No,4.5,0.458,3.54,6.42,8.42,3.8,No,None,Low
7,192.84,1,72,0.381,0.0032,0,No,3.6,0.501,4.93,2.63,9.92,4.5,Yes,None,Mid
3,22.34,2,45,0.686,0.0576,0,No,0.3,0.662,3.41,2.92,8.22,7.7,Yes,None,Extreme
8,72.01,5,108,0.096,0.0768,1,No,1.8,0.908,4.0,1.0,8.08,3.2,Yes,Low,Low
29,233.83,15,1,0.144,0.016,0,No,2.0,0.574,3.29,6.12,8.24,2.6,No,None,Low
8,27.63,3,25,0.254,0.068,0,No,4.5,0.728,4.83,5.35,9.6,4.6,No,None,Mid
1,94.32,1,0,0.236,0.1208,0,No,2.7,0.836,4.5,5.93,9.1,4.1,No,None,Mid
43,74.75,11,34,0.052,0.1416,0,No,3.6,0.883,5.0,4.87,9.53,2.9,No,None,Low
54,96.43,1,24,0.249,0.1056,1,No,0.4,0.637,3.75,3.97,7.73,4.2,No,Low,Mid
21,237.38,6,1,0.245,0.0696,1,No,3.8,0.783,3.7,6.42,7.8,3.3,No,Low,Mid
39,54.11,10,3,0.231,0.0552,0,Yes,6.3,0.727,5.0,7.28,9.82,4.3,No,None,Mid
45,131.95,12,2,0.529,0.0776,0,No,2.7,0.636,3.42,6.2,8.16,5.9,No,None,High
2,59.4,1,15,0.712,0.0664,1,No,2.0,0.597,3.35,4.95,7.46,7.6,No,Low,Extreme
34,266.05,9,12,0.338,0.0008,1,No,6.9,0.568,3.13,7.0,7.46,3.8,No,Low,Mid
21,186.42,1,4,0.587,0.1976,2,Yes,0.0,0.879,4.53,4.83,7.54,6.0,No,Low,High
48,74.13,13,20,0.302,0.0192,1,No,1.6,0.335,3.02,4.97,7.29,4.7,No,Low,Mid
33,47.0,17,71,0.028,0.1536,2,No,3.5,0.298,2.57,3.18,5.72,2.9,Yes,Low,Low
56,32.41,15,31,0.326,0.0016,0,No,0.9,0.625,2.95,4.25,7.94,5.1,No,None,Mid
39,206.91,1,7,0.33,0.0376,0,No,7.3,0.606,4.85,7.12,9.72,4.1,No,None,Mid
57,36.64,15,11,0.372,0.1544,1,No,2.4,0.499,5.0,5.75,8.82,5.4,No,Low,Mid
40,68.23,11,26,0.328,0.1472,2,No,2.7,0.962,4.33,4.97,7.51,4.9,No,Low,Mid
7,73.55,2,16,0.315,0.0304,0,No,0.0,0.526,4.58,4.27,9.48,4.8,No,None,Mid
15,56.17,1,11,0.141,0.0176,3,No,0.0,0.656,2.55,4.48,5.49,3.6,No,Medium,Low
9,58.53,1,14,0.209,0.0248,0,No,6.9,0.729,4.81,6.63,9.73,4.1,No,None,Low
30,16.93,16,35,0.269,0.0464,0,No,5.4,0.687,3.6,5.58,8.45,4.8,No,None,Mid
44,38.22,1,3,0.278,0.1264,0,No,5.2,0.4,3.79,6.62,8.37,4.7,No,None,Mid
51,125.63,1,2,0.248,0.02,1,No,3.0,0.67,1.58,5.93,5.85,4.0,No,Low,Mid
55,130.94,1,21,0.221,0.0296,0,No,5.4,0.178,3.84,5.78,8.74,3.8,No,None,Low
60,73.69,16,27,0.215,0.0072,1,Yes,4.3,0.838,3.12,5.62,7.43,4.1,No,Low,Low
53,81.37,14,12,0.341,0.0216,0,Yes,4.0,0.726,3.48,6.2,8.41,4.9,No,None,Mid
17,65.01,9,12,0.415,0.0192,2,No,3.6,0.705,3.49,5.9,7.09,5.5,No,Low,Mid
38,44.77,10,56,0.1,0.0128,1,No,4.2,0.503,2.79,3.93,7.08,3.4,Yes,Low,Low
41,73.28,1,8,0.346,0.1848,2,No,2.2,0.559,2.79,5.37,5.84,5.0,No,Low,Mid
39,37.72,1,47,0.325,0.0048,0,No,6.0,0.956,3.89,4.68,8.87,5.0,No,None,Mid
48,75.88,13,67,0.295,0.1112,0,No,3.8,0.771,3.55,3.35,8.18,4.6,Yes,None,Mid
21,61.51,1,5,0.087,0.0488,1,No,3.8,0.298,2.75,6.05,6.92,3.2,No,Low,Low
3,154.54,2,16,0.305,0.0536,0,No,3.4,0.845,5.0,5.4,9.82,4.2,No,None,Mid
37,94.43,19,10,0.268,0.252,0,No,0.5,0.558,3.56,5.3,7.72,4.3,No,None,Mid
17,111.57,1,66,0.093,0.0528,0,No,0.0,0.643,4.38,1.73,9.2,3.0,Yes,None,Low
17,29.55,5,0,0.471,0.0096,0,No,2.9,0.645,4.68,6.13,9.65,6.1,No,None,High
54,36.74,1,8,0.426,0.0048,1,No,3.8,0.735,5.0,5.9,9.32,5.8,No,Low,Mid
11,47.17,1,11,0.313,0.0016,1,No,0.0,0.711,4.73,4.48,9.06,4.9,No,Low,Mid
10,70.88,3,26,0.509,0.0104,1,No,5.0,0.652,2.95,5.47,7.25,6.1,No,Low,High
1,58.75,1,36,0.457,0.0072,1,Yes,3.2,0.525,4.0,4.3,8.31,5.8,No,Low,High
10,291.08,3,11,0.416,0.0008,1,Yes,3.6,0.616,2.69,5.75,7.02,4.2,No,Low,Mid
25,40.12,7,3,0.682,0.1936,0,No,3.3,0.766,4.87,6.18,9.22,7.5,No,None,Extreme
16,164.44,9,18,0.469,0.0232,1,Yes,5.8,0.614,3.46,6.33,7.72,5.3,No,Low,High
55,80.55,1,81,0.224,0.0136,1,No,2.1,0.742,4.47,1.68,8.76,4.1,Yes,Low,Low
59,95.74,15,22,0.21,0.072,0,Yes,0.0,0.547,4.25,4.4,9.01,3.9,No,None,Low
38,72.18,10,57,0.125,0.0104,1,No,4.2,0.455,3.68,3.88,7.98,3.4,No,Low,Low
54,21.54,1,60,0.269,0.0024,1,No,4.5,0.454,4.11,3.53,8.44,4.8,No,Low,Mid
32,41.88,1,150,0.122,0.0296,0,No,5.1,0.944,3.59,1.73,8.49,3.6,Yes,None,Low
52,55.82,14,27,0.272,0.1144,0,Yes,5.5,0.85,3.8,5.95,8.42,4.6,No,None,Mid
25,128.33,13,13,0.269,0.0032,2,No,3.6,0.907,4.47,5.98,8.13,4.1,No,Low,Mid
13,39.86,1,11,0.235,0.0456,1,No,3.5,0.622,4.07,5.65,8.25,4.4,No,Low,Mid
43,132.87,1,73,0.359,0.0192,0,Yes,6.0,0.881,3.48,3.38,8.42,4.7,Yes,None,Mid
16,25.88,1,3,0.251,0.0376,0,No,0.0,0.583,2.5,4.88,7.37,4.6,No,None,Mid
50,110.61,13,11,0.172,0.052,1,Yes,4.9,0.613,3.16,6.52,7.32,3.5,No,Low,Low
41,72.5,11,43,0.196,0.0,1,No,3.2,0.716,3.53,4.28,7.86,3.9,No,Low,Low
20,85.82,6,19,0.237,0.0768,1,Yes,6.8,0.602,4.35,6.52,8.43,4.1,No,Low,Mid
28,216.38,15,24,0.151,0.1776,2,No,4.4,0.536,3.18,5.77,6.25,2.8,No,Low,Low
60,215.93,1,6,0.31,0.0696,0,No,3.7,0.774,3.71,5.97,8.48,3.9,No,None,Mid
8,66.66,3,2,0.172,0.0096,0,No,6.5,0.532,4.09,7.17,9.06,3.8,No,None,Low
57,57.3,29,59,0.158,0.2584,2,No,1.3,0.648,3.91,3.45,6.72,3.8,Yes,Low,Low
31,110.27,1,12,0.275,0.1312,1,No,4.1,0.483,3.81,5.8,7.71,4.3,No,Low,Mid
54,29.08,14,10,0.288,0.0688,1,No,5.8,0.571,3.47,6.9,7.57,4.8,No,Low,Mid
28,75.74,1,69,0.185,0.0568,0,No,0.0,0.488,5.0,1.58,9.81,3.8,Yes,None,Low
29,80.65,8,11,0.265,0.028,0,No,4.8,0.495,4.27,6.32,9.18,4.4,No,None,Mid
42,68.74,53,56,0.148,0.1224,0,No,0.0,0.643,4.07,3.87,8.66,3.6,No,None,Low
34,20.33,18,5,0.14,0.0088,3,Yes,2.0,0.407,3.13,6.02,6.1,3.9,No,Medium,Low
37,26.09,10,60,0.247,0.1872,3,No,0.3,0.761,4.27,2.43,6.65,4.6,Yes,Medium,Mid
42,70.63,1,86,0.115,0.0416,0,No,4.7,0.545,3.01,2.3,7.87,3.4,Yes,None,Low
60,32.17,1,98,0.372,0.0736,1,No,5.0,0.319,3.42,1.8,7.51,5.4,Yes,Low,Mid
20,96.06,6,17,0.115,0.0864,1,No,5.3,0.553,4.53,6.12,8.58,3.2,No,Low,Low
5,37.93,3,4,0.299,0.1744,1,No,5.4,0.956,3.78,6.7,7.53,4.9,No,Low,Mid
27,167.52,7,21,0.23,0.0768,2,No,2.9,0.819,2.7,5.15,6.11,3.6,No,Low,Mid
37,149.36,1,6,0.219,0.0088,0,No,3.9,0.482,4.93,6.03,9.9,3.6,No,None,Low
37,79.78,1,16,0.287,0.0392,0,No,2.6,0.988,5.0,5.1,9.87,4.5,No,None,Mid
31,102.8,1,4,0.366,0.0464,1,No,0.7,0.689,4.32,5.07,8.5,4.9,No,Low,Mid
33,85.72,1,22,0.347,0.1504,0,No,4.3,0.314,3.97,5.37,8.47,4.9,No,None,Mid
48,65.36,1,6,0.05,0.1112,1,No,3.0,0.712,3.98,5.73,7.94,3.0,No,Low,Low
32,82.91,1,17,0.519,0.0888,0,No,4.5,0.538,3.9,5.68,8.6,6.1,No,None,High
17,33.94,5,5,0.628,0.152,4,No,4.5,0.304,2.92,6.42,4.75,7.2,No,Medium,High
43,105.46,11,13,0.442,0.0048,1,No,3.1,0.509,5.0,5.75,9.32,5.5,No,Low,Mid
23,66.08,12,78,0.134,0.0024,1,No,3.1,0.385,5.0,2.53,9.33,3.5,Yes,Low,Low
48,41.44,1,45,0.273,0.2352,1,No,3.9,0.558,3.58,4.08,7.13,4.7,Yes,Low,Mid
45,85.32,12,4,0.149,0.1608,1,No,2.4,0.837,3.84,6.0,7.64,3.5,No,Low,Low
41,71.55,11,3,0.388,0.0704,2,No,0.0,0.872,4.17,5.22,7.6,5.3,No,Low,Mid
37,62.36,10,8,0.287,0.0456,0,No,3.9,0.273,3.04,6.23,7.89,4.6,No,None,Mid
59,92.2,1,25,0.091,0.0408,1,No,1.5,0.701,5.0,4.28,9.2,3.1,No,Low,Low
57,102.9,1,7,0.127,0.0,0,No,0.8,0.241,3.87,4.95,8.87,3.3,No,None,Low
17,186.06,5,35,0.199,0.0864,2,No,5.0,0.841,3.75,5.08,7.13,3.3,No,Low,Low
48,159.36,13,13,0.074,0.0224,0,No,3.9,0.591,4.72,6.08,9.65,2.6,No,None,Low
18,219.23,5,39,0.267,0.0128,0,No,3.5,0.389,4.59,4.38,9.55,3.6,No,None,Mid
14,59.34,4,10,0.828,0.0488,0,Yes,5.6,0.455,4.92,6.5,9.76,8.4,No,None,Extreme
60,56.69,1,64,0.16,0.036,0,No,4.2,0.647,2.35,3.23,7.23,3.8,No,None,Low
16,55.96,9,4,0.204,0.0104,3,No,2.9,0.826,1.81,6.07,4.78,4.1,No,Medium,Low
24,33.17,19,18,0.173,0.02,1,No,3.8,0.886,4.02,6.0,8.29,4.0,No,Low,Low
39,128.57,20,2,0.449,0.1296,2,Yes,4.9,0.105,4.09,7.2,7.32,5.4,No,Low,Mid
3,62.16,1,11,0.547,0.1632,2,No,1.5,0.799,2.04,4.98,5.16,6.5,No,Low,High
13,87.04,4,20,0.481,0.0696,0,No,2.7,0.581,4.06,5.03,8.83,5.8,No,None,High
39,64.66,10,23,0.344,0.136,1,No,1.4,0.944,4.28,4.65,8.16,5.0,No,Low,Mid
21,54.88,6,10,0.387,0.1904,2,No,0.3,0.956,3.59,4.8,6.62,5.4,No,Low,Mid
19,37.99,1,14,0.332,0.02,0,No,5.6,0.302,4.19,6.2,9.12,5.1,No,None,Mid
16,78.3,1,43,0.178,0.0144,1,No,4.0,0.501,4.34,4.22,8.63,3.8,No,Low,Low
28,53.06,1,41,0.49,0.0264,0,Yes,2.5,0.798,2.66,3.82,7.57,6.1,No,None,High
5,12.8,1,68,0.061,0.004,3,No,1.9,0.706,3.27,2.27,6.26,3.4,Yes,Medium,Low
8,40.99,5,48,0.476,0.0728,1,No,5.2,0.856,2.77,4.5,6.86,6.1,No,Low,High
15,94.65,1,22,0.086,0.044,0,No,4.5,0.442,4.7,5.43,9.55,3.0,No,None,Low
54,65.89,41,3,0.136,0.0032,0,No,1.8,0.726,4.37,6.82,9.36,3.6,No,None,Low
9,49.59,5,14,0.191,0.0424,0,No,1.6,0.848,2.59,5.0,7.45,4.0,No,None,Low
18,40.96,10,21,0.232,0.196,1,Yes,1.9,0.704,4.43,4.92,8.11,4.4,No,Low,Mid
20,43.09,11,38,0.403,0.0104,0,No,6.2,0.859,3.25,5.53,8.22,5.6,No,None,Mid
36,51.75,1,121,0.34,0.0472,0,No,7.3,0.763,4.63,2.47,9.47,5.1,Yes,None,Mid
45,36.22,34,2,0.467,0.012,1,Yes,3.3,0.438,3.94,7.13,8.23,6.1,No,Low,High
59,83.95,1,28,0.389,0.0136,2,No,2.4,0.845,2.46,4.43,6.08,5.2,No,Low,Mid
44,54.79,23,3,0.345,0.1776,0,Yes,3.7,0.655,3.33,6.85,7.74,5.1,No,None,Mid
26,101.36,7,34,0.264,0.144,1,Yes,0.0,0.403,2.91,3.53,6.76,4.2,No,Low,Mid
2,47.3,1,1,0.176,0.0544,0,No,1.1,0.104,4.28,5.35,9.1,3.9,No,None,Low
38,71.48,20,54,0.076,0.0048,1,No,2.8,0.123,4.1,3.9,8.42,3.1,No,Low,Low
6,75.85,2,23,0.176,0.2664,0,No,5.3,0.369,3.44,5.68,7.55,3.8,No,None,Low
3,87.02,3,21,0.326,0.1432,2,No,2.8,0.444,3.75,4.98,6.94,4.8,No,Low,Mid
21,29.93,16,1,0.526,0.0584,0,No,1.1,0.94,3.82,5.85,8.63,6.5,No,None,High
23,251.11,12,72,0.353,0.0504,1,No,8.7,0.412,3.16,4.7,7.33,4.0,Yes,Low,Mid
26,62.73,7,39,0.423,0.1968,2,No,3.6,0.92,3.35,4.48,6.36,5.6,No,Low,Mid
49,40.46,25,31,0.594,0.0536,0,Yes,1.9,0.421,3.95,4.92,8.77,6.9,No,None,High
58,93.84,15,42,0.427,0.04,0,No,4.5,0.878,5.0,4.9,9.87,5.4,No,None,Mid
22,105.34,1,46,0.277,0.0192,0,Yes,3.4,0.858,4.57,3.87,9.51,4.3,No,None,Mid
20,53.05,6,47,0.317,0.136,2,No,2.9,0.641,3.48,3.82,6.69,4.9,Yes,Low,Mid
45,55.0,1,2,0.165,0.0032,0,No,0.0,0.45,4.25,4.93,9.24,3.8,No,None,Low
30,45.07,16,30,0.324,0.1056,1,No,3.2,0.48,3.41,5.1,7.39,5.0,No,Low,Mid
60,110.59,1,63,0.823,0.0096,0,No,1.1,0.597,3.95,2.25,8.92,8.1,Yes,None,Extreme
32,64.05,17,12,0.577,0.0104,1,Yes,0.1,0.843,2.56,5.0,6.86,6.7,No,Low,High
48,116.42,25,21,0.339,0.2688,3,No,2.1,0.828,3.66,5.48,5.76,4.7,No,Medium,Mid
2,62.77,1,7,0.24,0.0392,1,Yes,0.0,0.37,3.4,4.68,7.6,4.3,No,Low,Mid
48,22.62,13,2,0.294,0.1104,0,No,3.7,0.508,4.07,6.57,8.7,4.9,No,None,Mid
40,55.51,21,7,0.14,0.2144,0,Yes,4.4,0.694,2.77,6.82,7.06,3.6,No,None,Low
39,76.54,1,13,0.513,0.0968,0,No,2.1,0.684,2.4,5.08,7.08,6.1,No,None,High
38,66.1,1,21,0.529,0.0224,2,No,4.7,0.607,3.37,5.55,6.96,6.3,No,Low,High
30,184.33,16,22,0.196,0.0344,0,Yes,2.7,0.45,3.89,5.33,8.78,3.3,No,None,Low
32,71.92,9,5,0.28,0.0224,0,No,1.8,0.721,4.32,5.65,9.25,4.5,No,None,Mid
27,82.35,7,20,0.274,0.1336,0,No,2.2,0.417,4.7,4.97,9.25,4.4,No,None,Mid
12,164.98,7,4,0.133,0.0208,0,No,2.4,0.554,4.74,5.83,9.67,2.9,No,None,Low
46,57.25,24,6,0.269,0.0144,0,No,2.6,0.63,4.19,6.37,9.14,4.5,No,None,Mid
23,68.92,6,24,0.526,0.0232,0,No,1.4,0.447,4.09,4.47,9.01,6.3,No,None,High
15,81.46,12,16,0.395,0.1072,2,No,0.7,0.354,1.61,4.83,4.92,5.3,No,Low,Mid
60,52.66,16,12,0.243,0.0216,2,No,0.0,0.917,4.03,4.93,7.62,4.4,No,Low,Mid
35,78.92,1,3,0.158,0.02,1,No,1.6,0.346,4.19,5.42,8.46,3.6,No,Low,Low
41,81.97,1,17,0.205,0.0032,1,No,2.8,0.784,1.84,5.12,6.16,3.9,No,Low,Low
50,198.38,51,16,0.364,0.152,2,Yes,3.0,0.359,3.92,6.87,7.08,4.4,No,Low,Mid
43,159.77,11,42,0.456,0.2768,2,Yes,1.1,0.611,3.6,3.63,6.34,5.2,No,Low,High
3,50.94,2,90,0.164,0.0352,1,No,2.3,0.935,3.5,1.33,7.72,3.8,Yes,Low,Low
15,63.53,4,12,0.049,0.06,2,No,1.4,0.924,4.13,5.0,7.6,3.0,No,Low,Low
5,127.15,2,6,0.111,0.0168,0,No,2.1,0.473,3.97,5.47,8.91,3.0,No,None,Low
28,84.34,15,29,0.132,0.0576,0,No,2.3,0.316,4.22,4.82,9.03,3.4,No,None,Low
40,102.42,21,64,0.251,0.0704,0,No,2.3,0.385,3.77,3.27,8.54,4.1,Yes,None,Mid
10,59.64,3,66,0.12,0.0432,0,No,2.7,0.696,3.84,2.7,8.7,3.5,Yes,None,Low
46,120.65,47,8,0.579,0.0704,3,No,4.6,0.495,4.03,7.7,6.8,6.3,No,Medium,High
22,131.76,12,16,0.08,0.0312,1,No,7.9,0.79,4.22,7.23,8.45,2.8,No,Low,Low
3,43.14,1,5,0.511,0.112,1,No,0.3,0.696,4.21,4.88,8.17,6.3,No,Low,High
50,142.63,38,16,0.505,0.056,2,Yes,2.2,0.819,2.71,6.2,6.19,5.7,No,Low,High
39,24.26,30,67,0.435,0.2224,4,No,1.8,0.489,4.05,3.25,5.64,5.9,Yes,Medium,Mid
38,97.52,1,10,0.149,0.0352,1,No,3.5,0.526,3.4,5.7,7.62,3.5,No,Low,Low
36,45.38,1,3,0.142,0.0048,0,No,2.3,0.486,4.6,5.65,9.58,3.7,No,None,Low
44,63.04,34,0,0.506,0.1392,1,No,1.8,0.497,4.8,6.73,8.67,6.2,No,Low,High
2,118.15,2,18,0.062,0.0144,0,No,2.3,0.271,3.55,4.93,8.5,2.7,No,None,Low
54,83.65,1,37,0.432,0.0792,2,No,0.0,0.612,2.13,3.18,5.53,5.5,Yes,Low,Mid
57,112.1,29,31,0.411,0.0336,0,Yes,1.6,0.881,3.21,4.95,8.1,5.2,No,None,Mid
25,78.32,1,22,0.42,0.0728,0,No,2.2,0.305,5.0,4.67,9.76,5.5,No,None,Mid
38,76.35,10,16,0.259,0.0768,1,Yes,0.9,0.597,3.63,4.83,7.71,4.4,No,Low,Mid
30,90.89,1,22,0.286,0.0624,1,No,0.8,0.865,4.25,4.2,8.38,4.5,No,Low,Mid
6,57.91,5,180,0.317,0.0568,0,No,4.1,0.82,4.24,1.53,9.05,4.9,Yes,None,Mid
15,68.54,8,23,0.347,0.0432,1,No,1.1,0.347,5.0,4.48,9.19,5.0,No,Low,Mid
21,53.69,11,6,0.072,0.0568,1,No,3.3,0.466,2.11,6.17,6.25,3.2,No,Low,Low
58,64.17,1,5,0.383,0.044,0,No,2.4,0.284,4.07,5.58,8.92,5.3,No,None,Mid
20,97.95,16,26,0.201,0.0016,0,Yes,1.9,0.588,3.26,4.87,8.25,3.8,No,None,Low
13,18.86,4,46,0.116,0.18,0,No,0.5,0.699,4.16,3.0,8.56,3.7,No,None,Low
